,name,street,city,state,zip,contact,lat,lng
213,"Southwest Valley Public Health Office-
Robert F Kennedy School Based
Health Center",4300 Blake Rd SW,Albuquerque,NM,87121,(505) 243-1118 ,35.0363872,-106.7231611
214,"Southwest Valley Public Health Office-
School on Wheels",129 Hartline Rd SW,Albuquerque,NM,87105,(505) 243-2395 ,35.0688114,-106.6688803
215,"Sandoval Public Health Office-
Bernalillo SBHC",148 Spartan Alley,Bernalillo,NM,87004,(505) 404-5236 ,35.3182202,-106.5408443
216,"Southwest Valley Public Health Office-
ACE Leadership SBHC",1240 Bellamah Avenue NW,Albuquerque,NM,87104,(505) 770-4520 ,35.1012857,-106.6610984
217,"Las Clinicas del Norte- Mesa Vista
High School","Hwy 285, State Road 11",Ojo Caliente,NM,87549,(505) 583-2401 ,39.6525818,-104.9893608
218,Las Clinicas del Norte- Abiquiu Clinic,Highway 84 #21124,Abiquiu,NM,87510,(505) 685-4479 ,36.2079131,-106.3109188
219,"Las Clinicas del Norte- Pojoaque
School Based Health Clinic",1574 State Rd. 502,Santa Fe,NM,87506,(505) 455-4026 ,35.8773856,-106.0660458
220,"Presbyterian Medical Services- Teen
Health Centers Santa Fe High School",2100 Yucca St,Santa Fe,NM,87505,(505) 467-2439 ,35.6501516,-105.9719669
221,"Presbyterian Medical Services- Teen
Health Centers Capital High School",4851 Paseo Del Sol,Santa Fe,NM,87507,(505) 467-1081 ,35.6222058,-106.0422782
222,"La Familia Medical Center - Southside
Clinic",2145 Caja Del Oro Grant Rd,Santa Fe,NM,87507,(505) 438-3195 ,35.6584007,-106.0264272
223,"La Familia Medical Center-
Healthcare for the Homeless",1532 B Cerrillos Rd,Santa Fe,NM,87505,(505) 988-1742 ,35.6680411,-105.9678074
224,"La Familia Medical Center - Alto
Street Clinic",1035 Alto Street,Santa Fe,NM,87501,(505) 982-4425 ,35.6863132,-105.9597104
225,"UNM-Health Science Center
Maternal & Family Planning- New
Futures",5400 Cutler NE,Albuquerque,NM,87110,(505) 272-2220 ,35.1046586,-106.5844917
226,"UNM-Health Science Center
Maternal & Family Planning-
Northwest Valley",1231 Candelaria NW,Albuquerque,NM,87107,(505) 272-2158 ,35.1232318,-106.6564756
227,"UNM-Health Science Center
Maternity & Family Planning- South
Broadway","1500 Walter St SE, Ste 142",Albuquerque,NM,87102,(505) 272-2156 ,35.0682971,-106.6414193
228,"UNM-Health Science Center
Maternal & Family Planning- West
Mesa",6900 Gonzales Rd,Albuquerque,NM,87121,(505) 272-2154 ,35.0712788,-106.7108442
229,"Western NM University-Student
Health",1001 W. College Ave,Silver City,NM,88061,(575) 538-6015 ,32.774994,-108.2834062
230,"First Nations Community Health
Source-Truman Health Center",625 Truman Street NE,Albuquerque,NM,87110,(505) 248-2990 ,35.0886131,-106.5878262
231,First Nations Zuni Clinic,5608 Zuni Road SE,Albuquerque,NM,87108,(505) 262-2482 ,35.0725906,-106.5834062
232,"First Nations Community Health
Source - Native American
Community Academy",1000 Indian School Road NW,Albuquerque,NM,87104,(505) 266-0992 ,35.108065,-106.6549064
233,"UNM School Based Health Center-
Albuquerque High School Teen
Health Center",800 Odelia Rd. NE,Albuquerque,NM,87102,(505) 244-1330 ,35.096572,-106.6356697
234,"UNM School Based Health Center-
Highland High School Health Center",4700 Coal SE,Albuquerque,NM,87108,(505) 256-3363 ,35.0745148,-106.5911943
235,"UNM School Based Health Center-
Manzano High School","12200 Lomas Blvd, NE",Albuquerque,NM,87112,(505) 292-0090 ,35.0846995,-106.5109341
236,Garfield Co. Health Dept.,2501 Mercer Dr.,Enid,OK,73701,(580) 233-0650 http://garfield.health.ok.gov ,36.3703209,-97.8885058
237,Atoka Co. Health Dept.,1006 W. 13th Street,Atoka,OK,74525,"https://www.ok.gov/health/County_Health_Departments/Atoka_County_Health_Department/ 
(580) 889-2116 ",34.374264,-96.1447945
238,Beckham Co. Health Dept.,400 E. 3rd,Elk City,OK,73644,(580) 225-1173 http://beckham.health.ok.gov ,35.4112531,-99.4013954
239,Caddo Co. Health Dept.,216 West Broadway,Anadarko,OK,73005,"https://www.ok.gov/health/County_Health_Departments/Caddo_County_Health_Department/ 
(405) 247-2507 ",35.0746639,-98.2463695
240,Carter Co. Health Dept.,173 Franklin,Healdton,OK,73438,"https://www.ok.gov/health/County_Health_Departments/Carter_County_Health_Department/ 
(580) 229-1291 ",34.2337854,-97.4875536
241,Choctaw Co. Health Dept.,103 South 4th St,Hugo,OK,74743,(580) 326-8821 http://choctaw.health.ok.gov ,34.0089246,-95.5080486
242,Cleveland Co. Health Dept.-Moore,424 South Eastern,Moore,OK,73160,(405) 794-1591 http://cleveland.health.ok.gov ,35.3349475,-97.4744871
243,Cotton Co. Health Dept.,1501-A South 7th St,Walters,OK,73572,"https://www.ok.gov/health/County_Health_Departments/Cotton_County_Health_Department/ 
(580) 875-6121 ",34.3476643,-98.3132729
244,Custer Co. Health Dept.-Weatherford 220 North Bradley St,,Weatherford,OK,73096,"https://www.ok.gov/health/County_Health_Departments/Custer_County_Health_Department/ 
(580) 772-6417 ",35.5261633,-98.7075744
245,Garvin Co. Health Dept.,1809 South Chickasaw,Pauls Valley,OK,73075,"https://www.ok.gov/health/County_Health_Departments/Garvin_County_Health_Department/ 
(405) 238-7346 ",34.7183981,-97.2137053
246,Beaver Co. Health Dept.,Highway 270 South,Beaver,OK,73932,"https://www.ok.gov/health/County_Health_Departments/Atoka_County_Health_Department/ 
(580) 625-3693 ",36.8003764,-100.5193018
247,Blaine Co. Health Dept.,521 West 4th St,Watonga,OK,73772,(580) 623-7977 http://blaine.health.ok.gov ,35.8485033,-98.4184437
248,Canadian Co. Health Dept.,100 South Rock Island AVE,El Reno,OK,73036,(405) 262-0042 http://canadian.health.ok.gov ,35.5330088,-97.9530291
249,Carter Co. Health Dept. Ardmore,405 S. Washington St,Ardmore,OK,73401,"https://www.ok.gov/health/County_Health_Departments/Carter_County_Health_Department/ 
(580) 223-9705 ",34.1672418,-97.1316472
250,Coal Co. Health Dept.,1404 South Broadway,Coalgate,OK,74538,(580) 927-2367 ,34.5263774,-96.2196991
251,Creek Co. Health Dept.-Sapulpa,1808 South Hickory St,Sapulpa,OK,74066,(918) 224-5531 http://creek.health.ok.gov ,35.9778841,-96.1208098
252,Delaware Co. Health Dept.,432 S. 9th Street,Jay,OK,74346,(918) 253-4511 http://delaware.health.ok.gov ,36.419174,-94.8018696
253,Grady Co. Health Dept.,2116 Iowa St,Chickasha,OK,73018,"https://www.ok.gov/health/County_Health_Departments/Grady_County_Health_Department/ 
(405) 224-2022 ",35.0490753,-97.9610438
254,Greer Co. Health Dept.,2100 North Louis Tittle,Mangum,OK,73554,(580) 782-5531 http://greer.health.ok.gov ,34.8906149,-99.5024342
255,Jackson Co. Health Dept.,401 West Tamarack RD,Altus,OK,73521,(580) 482-7308 http://jackson.health.ok.gov ,34.666802,-99.3384827
256,Kay Co. Health Dept.,433 Fairview,Ponca City,OK,74601,"https://www.ok.gov/health/County_Health_Departments/Kay_County_Health_Department/ 
(580) 762-1641 ",36.729653,-97.0687517
257,Kiowa Co. Health Dept.,431 West Elm St,Hobart,OK,73651,"https://www.ok.gov/health/County_Health_Departments/Kiowa_County_Health_Department/ 
(580) 726-3316 ",35.0368069,-99.0977379
258,Leflore Co. Health Dept.,1204 Dewey Avenue,Poteau,OK,74953,"https://www.ok.gov/health/County_Health_Departments/LeFlore_County_Health_Department/ 
(918) 647-8601 ",35.0454218,-94.614437
259,Lincoln Co. Health Dept.,101 Meadow LN,Chandler,OK,74834,(405) 258-2640 http://lincoln.health.ok.gov ,35.710237,-96.8544189
260,Love Co. Health Dept.,200 C. E. Colston DR,Marietta,OK,73448,(580) 276-2531 ,33.9421636,-97.1312476
261,Mayes Co. Health Dept.,111 N.E. 1st St,Pryor,OK,74361,(918) 825-4224 http://mayes.health.ok.gov ,36.3102442,-95.3165813
262,Harmon Co. Health Dept.,1104 North 7th St,Hollis,OK,73550,(580) 688-3348 http://harmon.health.ok.gov ,34.6925665,-99.9136968
263,Haskell Co. Health Dept.,1407 Northeast D St,Stigler,OK,74462,"https://www.ok.gov/health/County_Health_Departments/Haskell_County_Health_Department/ 
(918) 967-3304 ",35.2584589,-95.1097835
264,Jefferson Co. Health Dept.,107 East Anderson AVE,Waurika,OK,73573,"https://www.ok.gov/health/County_Health_Departments/Jefferson_County_Health_Department/ 
(580) 228-2313 ",34.162574,-98.0006957
265,Kay Co. Health Dept.-Blackwell,1706 South Main St,Blackwell,OK,74631,"https://www.ok.gov/health/County_Health_Departments/Kay_County_Health_Department/ 
(580) 363-5520 ",36.7852821,-97.282863
266,Latimer Co. Health Dept.,201 West Main St,Wilburton,OK,74578,"https://www.ok.gov/health/County_Health_Departments/Latimer_County_Health_Department/ 
(918) 465-5673 ",34.9190799,-95.3118433
267,Major Co. Health Dept.,501 East Broadway,Fairview,OK,73737,(580) 227-3362 http://major.health.ok.gov ,36.2695161,-98.4746007
268,McClain Co. Health Dept.-Blanchard,600 North Main,Blanchard,OK,73010,(405) 485-3319 http://mcclain.health.ok.gov ,35.1419246,-97.6583212
269,Grant Co. Health Dept.,115 North Main St,Medford,OK,73759,(580) 395-2906 http://grant.health.ok.gov ,36.8076709,-97.735366
270,Harper Co. Health Dept.,"7th & Oklahoma, Ste. 9",Laverne,OK,73848,"https://www.ok.gov/health/County_Health_Departments/Harper_County_Health_Department/ 
(580) 921-2029 ",36.7097549,-99.8934612
271,Hughes Co. Health Dept.,200 McDougal DR,Holdenville,OK,74848,(405) 379-3313 http://hughes.health.ok.gov ,35.0889128,-96.3800813
272,Johnston Co. Health Dept.,1080 South Byrd,Tishomingo,OK,73460,(580) 371-2470 http://johnston.health.ok.gov ,34.2233144,-96.6752819
273,Kingfisher Co. Health Dept.,124 East Sheridan AVE,Kingfisher,OK,73750,(405) 375-3008 http://kingfisher.health.ok.gov ,35.8601226,-97.9322137
274,Logan Co. Health Dept.,215 Fairgrounds RD,Guthrie,OK,73044,(405) 282-3485 http://logan.health.ok.gov ,35.8658263,-97.4271083
275,Marshall Co. Health Dept.,310 West Lillie Blvd.,Madill,OK,73446,(580) 795-3705 http://marshall.health.ok.gov ,34.0911695,-96.773784
276,McClain Co. Health Dept.,919 North 9th AVE,Purcell,OK,73080,(405) 527-6541 ,35.0229564,-97.3716141
277,McIntosh Co. Health Dept.-Checotah,211 West Gentry AVE,Checotah,OK,74426,"https://www.ok.gov/health/County_Health_Departments/McIntosh_County_Health_Department/ 
(918) 473-5416 ",35.4700842,-95.5223578
278,Noble Co. Health Dept.,300 East Fir St,Perry,OK,73077,"https://www.ok.gov/health/County_Health_Departments/Noble_County_Health_Department/ 
(580) 336-2257 ",36.2892498,-97.2690369
279,Pawnee Co. Health Dept.,1390 West Cherokee St,Cleveland,OK,74020,"https://www.ok.gov/health/County_Health_Departments/Pawnee_County_Health_Department/ 
(918) 358-2546 ",36.3075843,-96.4788598
280,Payne Co. Health Dept.,1026 N. Linwood AVE,Cushing,OK,74023,"https://www.ok.gov/health/County_Health_Departments/Payne_County_Health_Department/ 
(918) 225-3377 ",35.9906999,-96.748666
281,Pontotoc Co. Health Dept.,2330 Arlington Street,Ada,OK,74820,(580) 332-2011 ,34.7826878,-96.6427422
282,Pushmataha Co. Health Dept.-Antlers 318 W. Main St,,Antlers,OK,74523,(580) 298-6624 http://pushmataha.health.ok.gov ,34.231212,-95.6202476
283,McCurtain Co. Health Dept.,1400 S. Lynn LN,Idabel,OK,74745,"https://www.ok.gov/health/County_Health_Departments/McCurtain_County_Health_Department/ 
(580) 286-6628 ",33.8837914,-94.8085715
284,Murray Co. Health Dept.,730 Cambridge Dr.,Sulphur,OK,73086,"(580) 622-3716 https://www.ok.gov/health/County_Health_Departments
/Murray_County_Health_Department/",34.5049448,-96.995127
285,Okfuskee Co. Health Dept.,125 North 2nd St,Okemah,OK,74859,(918) 623-1800 http://okfuskee.health.ok.gov,35.4323729,-96.3025729
286,Okmulgee Co. Health Dept.,1304 R. D. Miller DR,Okmulgee,OK,74447,"(918) 756-1883 https://www.ok.gov/health/County_Health_Departments
/Okmulgee_County_Health_Department/",35.6123683,-95.9537695
287,Pawnee Co. Health Dept.-Pawnee,639 7th St,Pawnee,OK,74058,"(918) 762-3643 https://www.ok.gov/health/County_Health_Departments
/Pawnee_County_Health_Department/",36.3369904,-96.8058578
288,Pottawatomie Co. Health Dept.,1904 Gordon Cooper DR,Shawnee,OK,74801,(405) 273-2157 http://pottawatomie.health.ok.gov,35.2974556,-96.9262386
289,Rogers Co. Health Dept.,2664 N. Hwy. 88,Claremore,OK,74017,(918) 341-3166 http://rogers.health.ok.gov,36.3332538,-95.6310568
290,McIntosh Co. Health Dept.,29 Hospital RD,Eufaula,OK,74432,"(918) 689-7774 https://www.ok.gov/health/County_Health_Departments
/McIntosh_County_Health_Department/",35.3089312,-95.5931159
291,Muskogee Co. Health Dept.,530 South 34th St,Muskogee,OK,74401,(918) 683-0321 http://muskogee.health.ok.gov,35.7480206,-95.4045086
292,Ottawa Co. Health Dept.,1930 North Elm St,Miami,OK,74354,(918) 540-2481 http://ottawa.health.ok.gov,36.8966057,-94.8590276
293,Payne Co. Health Dept.-Stillwater,1321 West 7th AVE,Stillwater,OK,74074,"(405) 372-8200 https://www.ok.gov/health/County_Health_Departments
/Payne_County_Health_Department/",36.1142128,-97.0745464
294,Pittsburg Co. Health Dept.,1400 East College AVE,McAlester,OK,74501,"(918) 423-1267 https://www.ok.gov/health/County_Health_Departments
/Pittsburg_County_Health_Department/",34.9331114,-95.7486608
295,Pushmataha Co. Health Dept.,Hwy. 2 and Cherokee St.,Clayton,OK,74536,(918) 569-7973 ,34.585337,-95.354994
296,Seminole Co. Health Dept.,1900 Boren BLVD,Seminole,OK,74868,(405) 382-4369 http://seminole.health.ok.gov ,35.2407697,-96.6952672
297,Seminole Co. Health Dept.-Wewoka,200 South Brown,Wewoka,OK,74884,(405) 257-5401 http://seminole.health.ok.gov ,35.1576489,-96.4890195
298,Texas Co. Health Dept.,1410 North East St,Guymon,OK,73942,"https://www.ok.gov/health/County_Health_Departments/Texas_County_Health_Department/ 
(580) 338-8544 ",36.6920279,-101.4746528
299,Wagoner Co. Health Dept.,212 North Pierce,Wagoner,OK,74467,"https://www.ok.gov/health/County_Health_Departments/Wagoner_County_Health_Department/ 
(918) 485-3022 ",35.9619056,-95.3866589
300,Sequoyah Co. Health Dept.,612 North Oak St,Sallisaw,OK,74955,(918) 775-6201 http://sequoyah.health.ok.gov ,35.4630409,-94.7887199
301,Tillman Co. Health Dept.,1500 North Main St,Frederick,OK,73542,(580) 335-2163 http://tillman.health.ok.gov ,34.4054473,-99.0155882
302,Wagoner Co. Heath Dept.-Coweta,"28596 E 141 St., South",Coweta,OK,74429,"https://www.ok.gov/health/County_Health_Departments/Wagoner_County_Health_Department/ 
(918) 486-2845 ",35.9587243,-95.6575445
303,Stephens Co. Health Dept.,1401 Bois D'arc,Duncan,OK,73533,"https://www.ok.gov/health/County_Health_Departments/Stephens_County_Health_Department/ 
(580) 252-0270 ",34.4928466,-97.9297132
304,Woodward Co. Health Dept.,1631 Texas St,Woodward,OK,73801,"https://www.ok.gov/health/County_Health_Departments/Woodward_County_Health_Department/ 
(580) 256-6416 ",36.4345278,-99.4003855
305,Woods Co. Health Dept.,511 Barnes Street,Alva,OK,73717,(580) 327-3192 http://woods.health.ok.gov ,36.8035936,-98.6658377
306,Adair Co. Health Dept.,600 West Hickory,Stilwell,OK,74960,(918) 696-7292 http://adair.health.ok.gov ,35.8117461,-94.6345397
307,Beckham Co. Health Dept. Sayre,115 South 4th,Sayre,OK,73662,(580) 928-5551 ,35.2905138,-99.6404612
308,Bryan Co. Health Dept.,1524 W. Chuckwa,Durant,OK,74702,(580) 924-4285 http://bryan.health.ok.gov ,34.0088368,-96.3925664
309,Canadian Co. Health Dept. Yukon,1023 East Vandament AVE,Yukon,OK,73099,"https://www.ok.gov/health/County_Health_Departments/Canadian_County_Health_Department/ 
(405) 354-4872 ",35.4939033,-97.7310191
310,Cherokee Co. Health Dept.,912 South College AVE,Tahlequah,OK,74464,(918) 456-8826 http://cherokee.health.ok.gov ,35.90321,-94.976858
311,Cleveland Co. Health Dept.,250 12th Ave. N.E.,Norman,OK,73071,(405) 321-4048 http://cleveland.health.ok.gov ,35.2217009,-97.4252072
312,Comanche Co. Health Dept.,1010 South Sheridan Rd.,Lawton,OK,73501,(580) 248-5890 http://comanche.health.ok.gov ,34.597848,-98.4212496
313,Creek Co. Health Dept.,408 West 4th AVE,Bristow,OK,74010,(918) 367-3341 http://creek.health.ok.gov ,35.8305411,-96.3977873
314,Custer Co. Health Dept.,3030 Custer AVE,Clinton,OK,73601,(580) 323-2100 http://custer.health.ok.gov ,35.5154235,-98.999037
315,Osage County Health Dept.,1115 S.E. 15th Street,Pawhuska,OK,74056,"https://www.ok.gov/health/County_Health_Departments/Osage_County_Health_Department/ 
(918) 287-3740 ",36.672821,-96.3251836
316,"Washington County Health
Department",5121 SE Jacquelyn Lane,Bartlesville,OK,74006,"https://www.ok.gov/health/County_Health_Departments/Washington_County_Health_Department/ 
(918) 335-3005 ",36.7413414,-95.9202514
317,Craig County Health Department,115 East Delaware,Vinita,OK,74301,"https://www.ok.gov/health/County_Health_Departments/Craig_County_Health_Department/ 
(918) 256-7531 ",36.6347796,-95.1565548
318,Central Regional Health Center,315 S. Utica AVE,Tulsa,OK,74104,(918) 582-9355 http://www.tulsa-health.org ,36.1558978,-95.9662399
319,Collinsville Community Health Center,1201 West Center,Collinsville,OK,74021,(918) 596-8650 http://www.tulsa-health.org ,36.3632779,-95.8395254
320,"North Regional Health and Wellness
Center","5635 N. Martin Luther King Jr.
Blvd.",Tulsa,OK,74126,(918) 582-9355 http://www.tulsa-health.org ,36.2360583,-95.9919988
321,"Sand Springs Community Health
Center",306 E. Broadway,Sand Springs,OK,74063,(918) 591-6100 ,36.1393608,-96.1056167
322,"Project Vida Health Center - Canutillo
Health Center",7000 5th St.,Canutillo,TX,79835,(915) 533-7057 ,31.9134026,-106.5945946
323,"Project Vida Health Center - Sierra
Blanca Family Health Center",500 E. Walling,Sierra Blanca,TX,79851,(915) 533-7057 ,31.1829043,-105.3540332
324,"Project Vida Health Center - Dell City
Health Outreach Center",104 S. Dodson St.,Dell City,TX,79837,(915) 533-7057 ,31.9386176,-105.2038305
325,"Access Esperanza Clinics Inc-South
Texas College Mid-Valley Campus",400 North Border Avenue,McAllen,TX,78501,(956) 973-1013 http://www.accessclinics.org/ ,26.207313,-98.2286813
326,"University of Texas Health Austin -
Women's Health Institute","Health Transformation
Building",Austin,TX,78712,(833) 882-2737 ,30.2772353,-97.7350502
327,"Women's Health Care Center, Inc -
South Buckner Clinic",2914 S. Buckner Blvd. Ste. B,Dallas,TX,75227,(214) 703-6527 ,32.7614744,-96.6820803
328,"Women's Health Care Center -
Moore Clinic","617 West Moore Avenue Ste.
B",Terrell,TX,75160,(214) 703-6527 ,32.7368983,-96.2844866
329,"Women's Health Care Center, Inc. -
Broadway-Garland Clinic",5505 Broadway Boulevard,Garland,TX,75043,(214) 703-6527 ,32.8478885,-96.5972139
330,"Abilene-Taylor Public Health District -
MERCY Health Care Center",1902 Shelton St,Abilene,TX,79603,(325) 676-6634 ,32.47079,-99.7539718
331,"Special Health Resources for Texas -
Woman and Child Health Center",402 North Seventh Street,Longview,TX,75601,(903) 212-7158 ,32.4969404,-94.7274698
332,"Special Health Resources - Jim Meyer
Comprehensive Health Clinic",410 N. Fourth Street,Longview,TX,75601,(903) 212-7833 http://www.specialhealth.org/locations/ ,32.4968953,-94.7310269
333,"Special Health Resources for Texas -
True North Health Center",1013 College Avenue,Jacksonville,TX,75766,(903) 541-2571 ,31.9518049,-95.2770391
334,"Special Health Resources for Texas -
Paris Care Clinic",3150 Clarksville Street,Paris,TX,75460,(903) 609-3114 ,33.647611,-95.517608
335,"Special Health Resources for Texas -
Tyler Care Clinic",1300 Clinic Drive,Tyler,TX,75701,(903) 289-9259 ,32.3389853,-95.286333
336,"Special Health Resources for Texas -
Texarkana Care Clinic",1102 Main Street,Texarkana,TX,75501,(430) 200-4071 ,33.4295409,-94.0489081
337,"Avenue 360 Health and Wellness -
Humble Clinic","9816 Memorial Blvd #120,
Humble",Humble,TX,77338,(281) 570-2525 ,29.993579,-95.2750149
338,"Avenue 360 Health and Wellness -
South Central Clinic",4405 Griggs Road,Houston,TX,77021,(832) 962-4111 ,29.7028009,-95.3501667
339,"Special Health Resources for Texas -
Zeid Women's Health Center",825 Medical Drive,Tyler,TX,75701,(903) 533-0733 ,32.3393918,-95.2879122
340,"Special Health Resources for Texas -
Zeid Women's Health Center
Longview",705 East Marshall Avenue,Longview,TX,75601,(903) 315-2700 ,32.5026082,-94.7304206
341,Family Health Center - Main Site,1600 Providence Drive,Waco,TX,76707,(254) 313-4200 ,31.5591331,-97.1530183
342,"Family Health Center - West Waco
Community Clinic",600 Highway 6,Woodway,TX,76712,(254) 313-6700 ,31.5168722,-97.2028236
343,"Family Health Center - Women's
Health Center","120 Hillcrest Medical
Boulevard",Waco,TX,76712,(254) 313-6500 ,31.487599,-97.1577729
344,"Family Health Center - Austin Avenue
Community Clinic",110 South 12th Street,Waco,TX,76701,(254) 313-6350 ,31.5511095,-97.1377733
345,"Family Health Center - Community
Clinic at Santa Fe",600 South 25th Street,Temple,TX,76504,(254) 899-8650 ,31.0931672,-97.3582297
346,"Family Health Center - Bellmead
Community Clinic",3400 Bellmead Drive,Waco,TX,76705,(254) 313-5400 ,31.5926208,-97.0981561
347,"Family Health Center - Elm Avenue
Community Clinic",609 Elm Avenue,Waco,TX,76704,(254) 313-6900 ,31.5659534,-97.1229409
348,"Family Health Center - Tom Oliver
South 18th St. Community Clinic",1800 Gurley Lane,Waco,TX,76706,(254) 313-6000 ,31.5250342,-97.118927
349,"Family Health Center - McGregor
Community Clinic",500 Johnson Drive,McGregor,TX,76657,(254) 313-5200 ,31.4313548,-97.4174768
350,"Family Health Center - Bell's Hill
Community Clinic",911 South 20th Street,Waco,TX,76706,(254) 313-5700 ,31.5377088,-97.1379036
351,"Family Health Center - Martin Luther
King Community Clinic","1911 North Martin Luther
King Junior Boulevard",Waco,TX,76704,(254) 313-6350 ,31.5772836,-97.1424581
352,"Family Health Center - Meyer Center
Community Clinic",1226 Washington Avenue,Waco,TX,76701,(254) 313-6300 ,31.5510947,-97.1395974
353,"Family Health Center - Community
Clinic at MCC",4601 North 19th Street,Waco,TX,76708,(254) 313-5800 ,31.5892222,-97.1722446
354,"University Health System - Robert B.
Green Campus",903 West Martin Street,San Antonio,TX,78207,(210) 358-3400 ,29.4309066,-98.5015692
355,"University Health System - Kenwood
Clinic",302 Dora Street,San Antonio,TX,78212,(210) 358-8255 ,29.4740383,-98.4962091
356,"University Health System - Naco
Perrin Clinic",4020 Naco Perrin Boulevard,San Antonio,TX,78217,(210) 358-8255 ,29.5427889,-98.4160836
357,"University Health System - Salinas
Clinic",630 South General McMullen,San Antonio,TX,78237,(210) 358-8255 ,29.4229252,-98.5546685
358,"University Health System - South
Flores Clinic",7902 South Flores Street,San Antonio,TX,78221,(210) 358-8255 ,29.3472987,-98.4863473
359,"University Health System - Dr. Robert
L.M. Hilliard Center",919 Locke Street,San Antonio,TX,78208,(210) 644-8700 ,29.4377902,-98.4486703
360,"University Health System -
Zarzamora",4503 South Zarzamora Street,San Antonio,TX,78211,(210) 358-8255 ,29.3812385,-98.534296
361,"Bell County Public Health District
Temple Clinic",509 S. 9th Street,Temple,TX,76504,(254) 778-4766 http://www.bellcountyhealth.org/ ,31.092511,-97.3477313
362,"Bell County Public Health District
Killeen Clinic",309 N. 2nd Street,Killeen,TX,76541,(254) 526-8371 http://www.bellcountyhealth.org/ ,31.1209358,-97.7303402
363,Mary P. Lucio Health Center,"1204 Jose Colunga, Jr.",Brownsville,TX,78521,(956) 574-8745 http://www.co.cameron.tx.us/health/contact_info.html ,25.9051749,-97.438558
364,"Cameron County - Harlingen Public
Health Center","711 N ""L"" Street",Harlingen,TX,78550,(956) 423-3516 http://www.co.cameron.tx.us/health/contact_info.html ,26.1988945,-97.7098367
365,San Benito Public Health Clinic,1390 W. Expressway 83,San Benito,TX,78586,(956) 361-8244 http://www.co.cameron.tx.us/health/contact_info.html ,26.1404541,-97.6540673
366,"Cameron County - Father Joseph
O'Brien Health Clinic",142 Champion Rd.,Port Isabel,TX,78578,(956) 943-1300 http://www.co.cameron.tx.us/health/contact_info.html ,26.0715152,-97.2143505
367,UMC - Lower Valley (Ysleta),300 S. Zaragoza,El Paso,TX,79907,(915) 532-5454 http://www.umcelpaso.org/ ,31.6873673,-106.3303375
368,UMC - Central (Annex),"4824 Alberta St., Suite 403",El Paso,TX,79905,(915) 532-5454 http://www.umcelpaso.org/ ,31.7723761,-106.4336857
369,UMC - Fabens,101 Potasio,Fabens,TX,79838,(915) 532-5454 http://www.umcelpaso.org/,31.5132308,-106.1668985
370,UMC El Paso - East,1521 Joe Battle Boulevard,El Paso,TX,79936,(915) 521-7839 ,31.7376463,-106.2690431
371,Northside Health Center,8504 Schuller Rd.,Houston,TX,77093,(832) 395-9100 http://www.houstontx.gov/health/index.html,29.8371786,-95.3406005
372,"La Nueva Casa de Amigos Health
Center",1809 Noth Main,Houston,TX,77009,(832) 395-0570 http://www.houstontx.gov/health/index.html ,29.7755451,-95.3617097
373,Sunnyside Health Center,4605 Wilmington St.,Houston,TX,77051,(832) 395-0206 http://www.houstontx.gov/health/index.html ,29.6564666,-95.3565836
374,Sharpstown Health Services,6201 Bonhomme Suite 300,Houston,TX,77036,(832) 395-9800 http://www.houstontx.gov/health/index.html ,29.71169,-95.5130587
375,Texas Tech Health Center,701 West 5th Street,Odessa,TX,79763,(432) 335-2222 http://ttuhsc.edu/ ,31.8441573,-102.3762595
376,"City of Laredo Health Department
Family Planning Clinic",2600 Cedar Avenue,Laredo,TX,78040,(956) 795-4910 http://www.ci.laredo.tx.us/Health/Healthindex.htm ,27.5197662,-99.4904525
377,"Texarkana Bowie County Family
Health Center",902 West 12th Street,Texarkana,TX,75501,(903) 798-3250 http://txkusa.org/ ,33.4294187,-94.0526597
378,Collins Family Planning Clinic,2900 South East Loop 820,Fort Worth,TX,76140,(817) 922-8182 http://www.collinsfamilyplanningclinic.org/ ,32.6612021,-97.2854389
379,"Collins Family Planning Cinic -
Arlington",1115 E. Pioneer PKWY #130,Arlington,TX,76010,(817) 922-8182 http://collinsfamilyplanningclinic.org/ ,32.7088026,-97.0920783
380,Family Planning Clinic,301 East 12th Street,Sweetwater,TX,79556,(325) 235-2869 http://nolancountyhealth.com/ ,32.4787289,-100.4095882
381,"Family Planning Clinic and Men's
Health Center - Corpus Christi","4455 South Padre Island
Drive, Suite 30",Corpus Christi,TX,78411,(361) 833-0619 http://stfphc.org/ ,27.7161723,-97.3909443
382,"Family Planning Clinic and Men's
Health Center - Beeville","1400 W. Corpus Christi St.,
Ste. 4",Beeville,TX,78102,(361) 358-2974 http://stfphc.org/ ,28.3962192,-97.7620859
383,"Family Planning Clinic and Men's
Health Center - Rockport",2871 Hwy 35 N,Rockport,TX,78382,(361) 729-7512 http://stfphc.org/ ,28.0394504,-97.0786118
384,"Family Planning Clinic and Men's
Health Center - Kingsville",1218 N. Armstong,Kingsville,TX,78363,(361) 595-1929 http://stfphc.org/ ,27.5282996,-97.8775811
385,"Family Planning Clinic and Men's
Health Center - Sinton","301 S. San Patricio St., Ste C",Sinton,TX,78387,(361) 364-3306 http://stfphc.org/ ,28.0343282,-97.5161804
386,"Family Planning Clinic and Men's
Health Center - Robstown","515 Pat Shutter, Unit 121",Robstown,TX,78380,(361) 387-6996 http://stfphc.org/ ,27.7869537,-97.6817521
